programme,category,title,source_path,site_path,size_bytes,modified,note
Общи материали,board-notes,Консултация,СЕМ ВиС shared/Дъски СЕМ 2021/Консултация (15.12.2021 г.).pdf,files/prob-stat/shared/board-notes/prob-stat-board-2021-consultation.pdf,1039609,2022-01-20,
Общи материали,materials,Ръководство,СЕМ ВиС shared/Ръководство.pdf,files/prob-stat/shared/materials/prob-stat-guide.pdf,923135,2025-06-30,
Общи материали,materials,Лекции 2020 СЕМ Андрей,ПМ shared/Лекции 2020 СЕМ Андрей -.pdf,files/prob-stat/shared/materials/prob-stat-lecture-notes-sem-2020-andrey.pdf,2532828,2026-01-28,Verify permission/ownership before publishing publicly.
Общи материали,materials,Задачи,СЕМ ВиС shared/Задачи.pdf,files/prob-stat/shared/materials/prob-stat-problems.pdf,785542,2024-09-30,
Общи материали,materials,Примерни задачи теория,СЕМ ВиС shared/Изпити/Теория/Примерни задачи теория.pdf,files/prob-stat/shared/materials/prob-stat-theory-sample-problems.pdf,149490,2021-10-02,
Приложна математика,homeworks,Бонус 1,ПМ shared/Домашни/Бонус 1.pdf,files/prob-stat/applied-math/homeworks/prob-stat-applied-math-bonus-1.pdf,145143,2023-10-11,
Приложна математика,homeworks,Домашно 2,ПМ shared/Домашни/Домашно 2.pdf,files/prob-stat/applied-math/homeworks/prob-stat-applied-math-homework-2.pdf,249630,2023-10-11,
Приложна математика,homeworks,ТВМС 2024 — домашно 1,ПМ shared/Домашни/ТВМС 2024 Д1.pdf,files/prob-stat/applied-math/homeworks/prob-stat-applied-math-tvms-2024-homework-1.pdf,137181,2024-03-06,
Приложна математика,homeworks,ТВМС 2024 — домашно 2,ПМ shared/Домашни/ТВМС 2024 Д2.pdf,files/prob-stat/applied-math/homeworks/prob-stat-applied-math-tvms-2024-homework-2.pdf,200522,2024-03-27,
Приложна математика,homeworks,ТВМС 2024 — домашно 3,ПМ shared/Домашни/ТВМС 2024 Д3.pdf,files/prob-stat/applied-math/homeworks/prob-stat-applied-math-tvms-2024-homework-3.pdf,277861,2024-04-24,
Приложна математика,homeworks,ТВМС 2024 — домашни 4–5,ПМ shared/Домашни/ТВМС 2024 Д4&5.pdf,files/prob-stat/applied-math/homeworks/prob-stat-applied-math-tvms-2024-homework-4-5.pdf,291617,2024-06-01,
Приложна математика,tests,"Приложна математика: контролно 1, 2024",ПМ shared/Контролни/ПМ/Контролно 1 ПМ 2024.pdf,files/prob-stat/applied-math/tests/prob-stat-applied-math-2024-test-1.pdf,130581,2025-06-09,
Приложна математика,tests,"Приложна математика: контролно 2, 2024 — решения",ПМ shared/Контролни/ПМ/Контролно 2 ПМ 2024 решения.pdf,files/prob-stat/applied-math/tests/prob-stat-applied-math-2024-test-2-solutions.pdf,1769923,2024-06-12,
Приложна математика,tests,"Приложна математика: контролно 2, 2024",ПМ shared/Контролни/ПМ/Контролно 2 ПМ 2024.pdf,files/prob-stat/applied-math/tests/prob-stat-applied-math-2024-test-2.pdf,255984,2024-06-13,
Приложна математика,tests,"Приложна математика: контролно 1, 2025",ПМ shared/Контролни/ПМ/Контролно 1 ПМ 2025.pdf,files/prob-stat/applied-math/tests/prob-stat-applied-math-2025-test-1.pdf,182246,2025-06-09,
Приложна математика,tests,"Приложна математика: контролно 2, 2025",ПМ shared/Контролни/ПМ/Контролно 2 ПМ 2025.pdf,files/prob-stat/applied-math/tests/prob-stat-applied-math-2025-test-2.pdf,237986,2025-06-09,
СЕМ/ВиС,homeworks,Бонус 1,СЕМ ВиС shared/Домашни/Бонус 1.pdf,files/prob-stat/shared/homeworks/prob-stat-shared-bonus-1.pdf,145143,2023-10-11,
СЕМ/ВиС,homeworks,Домашно 1,СЕМ ВиС shared/Домашни/Домашно 1.pdf,files/prob-stat/shared/homeworks/prob-stat-shared-homework-1.pdf,196703,2023-12-18,
СЕМ/ВиС,homeworks,Домашно 2,СЕМ ВиС shared/Домашни/Домашно 2.pdf,files/prob-stat/shared/homeworks/prob-stat-shared-homework-2.pdf,249630,2023-10-11,
Софтуерно инженерство,exams-theory,"Теория СЕМ, януари 2021","СЕМ ВиС shared/Изпити/Теория/Изпит теория СЕМ, януари 2021.pdf",files/prob-stat/software-engineering/exams/prob-stat-softeng-2021-01-regular-exam-theory.pdf,134690,2021-09-10,
Софтуерно инженерство,exams-theory,"Теория СЕМ, август 2022","СЕМ ВиС shared/Изпити/Теория/Изпит теория СЕМ, август 2022.pdf",files/prob-stat/software-engineering/exams/prob-stat-softeng-2022-08-resit-exam-theory.pdf,228517,2025-07-01,
Софтуерно инженерство,exams-theory,Izp-2.pdf — unknown theory file,СЕМ ВиС shared/Изпити/Теория/Izp-2.pdf,files/prob-stat/software-engineering/exams/prob-stat-softeng-theory-unknown-izp-2.pdf,214654,2026-01-21,Original filename did not identify year/session.
Софтуерно инженерство,tests,"Софтуерно инженерство: контролно 1, 2020 — решения",СЕМ ВиС shared/Контролни/Контролно 1 СЕМ 2020 решения.pdf,files/prob-stat/software-engineering/tests/prob-stat-softeng-2020-test-1-solutions.pdf,263479,2021-12-09,
Софтуерно инженерство,tests,"Софтуерно инженерство: контролно 1, 2020",СЕМ ВиС shared/Контролни/Контролно 1 СЕМ 2020.pdf,files/prob-stat/software-engineering/tests/prob-stat-softeng-2020-test-1.pdf,139615,2021-12-02,
Софтуерно инженерство,tests,"Софтуерно инженерство: контролно 2, 2020 — решения",СЕМ ВиС shared/Контролни/Контролно 2 СЕМ 2020 решения.pdf,files/prob-stat/software-engineering/tests/prob-stat-softeng-2020-test-2-solutions.pdf,5020638,2025-01-09,
Софтуерно инженерство,tests,"Софтуерно инженерство: контролно 2, 2020",СЕМ ВиС shared/Контролни/Контролно 2 СЕМ 2020.pdf,files/prob-stat/software-engineering/tests/prob-stat-softeng-2020-test-2.pdf,119679,2022-01-20,
Софтуерно инженерство,tests,"Софтуерно инженерство: контролно 1, 2021 — решения",СЕМ ВиС shared/Контролни/Контролно 1 СЕМ 2021 решения.pdf,files/prob-stat/software-engineering/tests/prob-stat-softeng-2021-test-1-solutions.pdf,183075,2024-01-02,
Софтуерно инженерство,tests,"Софтуерно инженерство: контролно 1, 2021",СЕМ ВиС shared/Контролни/Контролно 1 СЕМ 2021.pdf,files/prob-stat/software-engineering/tests/prob-stat-softeng-2021-test-1.pdf,147646,2021-12-18,
Софтуерно инженерство,tests,"Софтуерно инженерство: контролно 2, 2021",СЕМ ВиС shared/Контролни/Контролно 2 СЕМ 2021.pdf,files/prob-stat/software-engineering/tests/prob-stat-softeng-2021-test-2.pdf,128496,2025-01-09,
Софтуерно инженерство,tests,"Софтуерно инженерство: контролно 1, 2022 — решения",СЕМ ВиС shared/Контролни/Контролно 1 СЕМ 2022 решения.pdf,files/prob-stat/software-engineering/tests/prob-stat-softeng-2022-test-1-solutions.pdf,4889259,2023-01-23,
Софтуерно инженерство,tests,"Софтуерно инженерство: контролно 1, 2022",СЕМ ВиС shared/Контролни/Контролно 1 СЕМ 2022.pdf,files/prob-stat/software-engineering/tests/prob-stat-softeng-2022-test-1.pdf,100304,2023-01-23,
Софтуерно инженерство,tests,"Софтуерно инженерство: контролно 2, 2022 — решения",СЕМ ВиС shared/Контролни/Контролно 2 СЕМ 2022 решения.pdf,files/prob-stat/software-engineering/tests/prob-stat-softeng-2022-test-2-solutions.pdf,8961701,2023-01-21,
Софтуерно инженерство,tests,"Софтуерно инженерство: контролно 2, 2022",СЕМ ВиС shared/Контролни/Контролно 2 СЕМ 2022.pdf,files/prob-stat/software-engineering/tests/prob-stat-softeng-2022-test-2.pdf,164858,2023-01-23,
Софтуерно инженерство,tests,"Софтуерно инженерство: контролно 1, 2023 — решения",СЕМ ВиС shared/Контролни/Контролно 1 СЕМ 2023 решения.pdf,files/prob-stat/software-engineering/tests/prob-stat-softeng-2023-test-1-solutions.pdf,7474356,2024-01-02,
Софтуерно инженерство,tests,"Софтуерно инженерство: контролно 1, 2023",СЕМ ВиС shared/Контролни/Контролно 1 СЕМ 2023.pdf,files/prob-stat/software-engineering/tests/prob-stat-softeng-2023-test-1.pdf,184796,2024-01-02,
Софтуерно инженерство,tests,"Софтуерно инженерство: контролно 2, 2023 — решения",СЕМ ВиС shared/Контролни/Контролно 2 СЕМ 2023 решения.pdf,files/prob-stat/software-engineering/tests/prob-stat-softeng-2023-test-2-solutions.pdf,240983,2025-01-09,
Софтуерно инженерство,tests,"Софтуерно инженерство: контролно 2, 2023",СЕМ ВиС shared/Контролни/Контролно 2 СЕМ 2023.pdf,files/prob-stat/software-engineering/tests/prob-stat-softeng-2023-test-2.pdf,146621,2025-01-09,
Софтуерно инженерство,tests,"Софтуерно инженерство: контролно 1, 2024 — решения",СЕМ ВиС shared/Контролни/Контролно 1 СЕМ 2024 решения.pdf,files/prob-stat/software-engineering/tests/prob-stat-softeng-2024-test-1-solutions.pdf,4255082,2024-12-02,
Софтуерно инженерство,tests,"Софтуерно инженерство: контролно 1, 2024",СЕМ ВиС shared/Контролни/Контролно 1 СЕМ 2024.pdf,files/prob-stat/software-engineering/tests/prob-stat-softeng-2024-test-1.pdf,171698,2024-12-01,
Софтуерно инженерство,tests,"Софтуерно инженерство: контролно 2, 2024",СЕМ ВиС shared/Контролни/Контролно 2 СЕМ 2024.pdf,files/prob-stat/software-engineering/tests/prob-stat-softeng-2024-test-2.pdf,174870,2025-01-31,
